d,n_pow,scew,sigma_total,trans_err,normal_err,c_trans,c_normal
250.0,6.0,0.01,10.0,596.8749999999999,609.375,1.4921875,0.609375
250.0,6.0,0.01,100.0,59687.49999999995,59250.0,1.4921875,59.25
250.0,6.0,0.01,500.0,1492187.4999999988,1486000.0,1.4921875,1486.0
250.0,6.0,0.1,1.0,5.960937499999999,6.09588623046875,1.490234375,0.0060958862304687
250.0,6.0,0.1,10.0,596.0937499999995,601.5625,1.490234375,0.6015625
250.0,6.0,0.1,100.0,59609.37499999996,60937.5,1.490234375,60.9375
250.0,6.0,0.1,500.0,1490234.3749999998,1528000.0,1.490234375,1528.0
250.0,6.0,1.0,1.0,19.25000000000001,660.15625,4.8125,0.66015625
250.0,6.0,1.0,10.0,1925.0000000000005,67000.0,4.8125,67.0
250.0,6.0,1.0,100.0,192500.0000000001,6400000.0,4.8125,6400.0
250.0,6.0,1.0,500.0,4812500.000000002,166912000.0,4.8125,166912.0
250.0,6.0,10.0,1.0,95.15624999999991,23789.0625,23.7890625,23.7890625
250.0,6.0,10.0,10.0,9515.625000000002,2349843.75,23.7890625,2349.84375
250.0,6.0,10.0,100.0,951562.5000000003,234788906.25,23.7890625,234788.90625
250.0,6.0,10.0,500.0,23789062.499999985,5869407656.25,23.7890625,5869407.65625
500.0,1.0,0.01,1.0,4.328125,4.364013671875,1.08203125,0.0021820068359375
500.0,1.0,0.01,10.0,432.8125,435.546875,1.08203125,0.2177734375
500.0,1.0,0.01,100.0,43281.250000000095,43250.0,1.08203125,21.625
500.0,1.0,0.01,500.0,1082031.250000001,1056000.0,1.08203125,528.0
500.0,1.0,0.1,1.0,4.328125,4.638671875,1.08203125,0.0023193359375
500.0,1.0,0.1,10.0,432.81250000000017,439.453125,1.08203125,0.2197265625
500.0,1.0,0.1,100.0,43281.25000000002,42000.0,1.08203125,21.0
500.0,1.0,0.1,500.0,1082031.2499999995,1100000.0,1.08203125,550.0
500.0,1.0,1.0,1.0,5.750000000000004,171.875,1.4375,0.0859375
500.0,1.0,1.0,10.0,575.0000000000006,15500.0,1.4375,7.75
500.0,1.0,1.0,100.0,57499.9999999999,1792000.0,1.4375,896.0
500.0,1.0,1.0,500.0,1437500.0000000014,36864000.0,1.4375,18432.0
500.0,1.0,10.0,1.0,9.999999999999991,5000.0,2.5,2.5
500.0,1.0,10.0,10.0,1000.0,544000.0,2.5,272.0
500.0,1.0,10.0,100.0,100000.00000000006,53248000.0,2.5,26624.0
500.0,1.0,10.0,500.0,2499999.9999999986,1376256000.0,2.5,688128.0
500.0,2.0,0.01,1.0,4.5625,4.6234130859375,1.140625,0.0023117065429687
500.0,2.0,0.01,10.0,456.25,464.84375,1.140625,0.232421875
500.0,2.0,0.01,100.0,45625.0000000001,46125.0,1.140625,23.0625
500.0,2.0,0.01,500.0,1140625.0000000012,1216000.0,1.140625,608.0
500.0,2.0,0.1,1.0,4.5625,4.669189453125,1.140625,0.0023345947265625
500.0,2.0,0.1,10.0,456.25000000000017,484.375,1.140625,0.2421875
500.0,2.0,0.1,100.0,45625.00000000002,46500.0,1.140625,23.25
500.0,2.0,0.1,500.0,1140624.9999999995,1174000.0,1.140625,587.0
500.0,2.0,1.0,1.0,7.875000000000005,320.3125,1.96875,0.16015625
500.0,2.0,1.0,10.0,787.5000000000008,32500.0,1.96875,16.25
500.0,2.0,1.0,100.0,78749.99999999985,3264000.0,1.96875,1632.0
500.0,2.0,1.0,500.0,1968750.0000000016,73728000.0,1.96875,36864.0
500.0,2.0,10.0,1.0,27.49999999999998,13750.0,6.875,6.875
500.0,2.0,10.0,10.0,2750.0000000000005,1376000.0,6.875,688.0
500.0,2.0,10.0,100.0,275000.0000000002,137216000.0,6.875,68608.0
500.0,2.0,10.0,500.0,6874999.999999996,3276800000.0,6.875,1638400.0
500.0,3.0,0.01,1.0,4.8359375,4.852294921875,1.208984375,0.0024261474609375
500.0,3.0,0.01,10.0,483.59375,483.3984375,1.208984375,0.24169921875
500.0,3.0,0.01,100.0,48359.37500000011,48375.0,1.208984375,24.1875
500.0,3.0,0.01,500.0,1208984.3750000012,1204000.0,1.208984375,602.0
500.0,3.0,0.1,1.0,4.828125,4.9285888671875,1.20703125,0.0024642944335937
500.0,3.0,0.1,10.0,482.8125000000002,488.28125,1.20703125,0.244140625
500.0,3.0,0.1,100.0,48281.25000000003,49187.5,1.20703125,24.59375
500.0,3.0,0.1,500.0,1207031.2499999995,1230000.0,1.20703125,615.0
500.0,3.0,1.0,1.0,11.000000000000009,250.0,2.75,0.125
500.0,3.0,1.0,10.0,1100.0000000000011,49000.0,2.75,24.5
500.0,3.0,1.0,100.0,109999.9999999998,5056000.0,2.75,2528.0
500.0,3.0,1.0,500.0,2750000.000000003,124928000.0,2.75,62464.0
500.0,3.0,10.0,1.0,41.999999999999964,21000.0,10.5,10.5
500.0,3.0,10.0,10.0,4200.000000000001,2240000.0,10.5,1120.0
500.0,3.0,10.0,100.0,420000.0000000002,213312000.0,10.5,106656.0
500.0,3.0,10.0,500.0,10499999.999999994,5523232000.0,10.5,2761616.0
500.0,4.0,0.01,1.0,5.0078125,5.01251220703125,1.251953125,0.0025062561035156
500.0,4.0,0.01,10.0,500.78125,500.9765625,1.251953125,0.25048828125
500.0,4.0,0.01,100.0,50078.12500000011,50187.5,1.251953125,25.09375
500.0,4.0,0.01,500.0,1251953.1250000012,1254000.0,1.251953125,627.0
500.0,4.0,0.1,1.0,5.0234375,5.10406494140625,1.255859375,0.0025520324707031
500.0,4.0,0.1,10.0,502.3437500000002,509.765625,1.255859375,0.2548828125
500.0,4.0,0.1,100.0,50234.37500000003,51062.5,1.255859375,25.53125
500.0,4.0,0.1,500.0,1255859.3749999993,1278000.0,1.255859375,639.0
500.0,4.0,1.0,1.0,12.750000000000009,718.75,3.1875,0.359375
